Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
BDCQ.SEC2AIA,2012.03,193.477.777,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,55-59,Actual,,
BDCQ.SEC2AIA,2012.06,2.025.975.071,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,55-59,Actual,,
BDCQ.SEC2AIA,2012.09,2.042.135.993,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,55-59,Actual,,
BDCQ.SEC2AIA,2012.12,2.164.410.137,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,55-59,Actual,,
BDCQ.SEC2AIA,2013.03,204.233.329,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,55-59,Actual,,
BDCQ.SEC2AIA,2013.06,2.145.156.014,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,55-59,Actual,,
BDCQ.SEC2AIA,2013.09,2.164.401.474,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,55-59,Actual,,
BDCQ.SEC2AIA,2013.12,2.321.123.611,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,55-59,Actual,,
BDCQ.SEC2AIA,2014.03,2.149.141.817,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,55-59,Actual,,
BDCQ.SEC2AIA,2014.06,2.292.021.948,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,55-59,Actual,,
BDCQ.SEC2AIA,2014.09,2.355.734.243,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,55-59,Actual,,
BDCQ.SEC2AIA,2014.12,2.481.755.613,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,55-59,Actual,,
BDCQ.SEC2AIA,2015.03,2.306.151.889,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,55-59,Actual,,
BDCQ.SEC2AIA,2015.06,2.453.102.737,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,55-59,Actual,,
BDCQ.SEC2AIA,2015.09,2.548.563.717,,F,Value,6,Business Data Collection - BDC,Age by employment variable,Total earnings,55-59,Actual,,
